outcome,event_time,coef,se,ci_lo,ci_hi
swls_z,-4,-.051346987,.038460024,-.12672864,.024034658
swls_z,-3,.0082854228,.031037392,-.052547865,.069118708
swls_z,-2,-.020300679,.038183507,-.095140353,.054538995
swls_z,0,.038193248,.036145963,-.03265284,.10903934
swls_z,1,.092132539,.025112476,.042912085,.141353
swls_z,2,.12622693,.038467102,.050831411,.20162246
swls_z,3,.062192515,.032565124,-.0016351291,.12602016
swls_z,4,.1246819,.041557562,.043229077,.20613472
loneliness,-4,.023136714,.020534607,-.017111115,.06338454
loneliness,-3,-.013816501,.015656788,-.044503804,.016870804
loneliness,-2,-.012675247,.020766489,-.053377565,.028027073
loneliness,0,-.05481581,.019820694,-.09366437,-.01596725
loneliness,1,-.038040571,.013520838,-.064541414,-.011539729
loneliness,2,-.074473664,.020844452,-.11532879,-.03361854
loneliness,3,-.037649151,.018179903,-.073281758,-.0020165415
loneliness,4,-.094690599,.022293193,-.13838525,-.050995938
family_sat,-4,.055905733,.043594185,-.02953887,.14135033
family_sat,-3,-.019615473,.032988444,-.084272824,.045041878
family_sat,-2,.033359267,.043294661,-.051498268,.11821681
family_sat,0,.058877487,.041354734,-.022177793,.13993277
family_sat,1,.054052819,.028469048,-.0017465163,.10985215
family_sat,2,.064098604,.042357206,-.018921521,.14711873
family_sat,3,.0335964,.036328312,-.037607092,.10479989
family_sat,4,.077463113,.045249883,-.011226658,.16615288
